cin,company_name,registration_date,category,company_class,listing_status,authorized_capital,paidup_capital,roc,address,state,company_status,industrial_classification
U40100WB2022PTC256639,AeroGrid Tech Innovations Private Limited,2022-10-15,Private,Private Company,Unlisted,5000000,2500000,ROC-KOLKATA,"42/A Park Lane, Ballygunge, Kolkata 700019",West Bengal,Active,Renewable Energy / Climate Technology
U40108WB2022PLC256813,FinPulse AI Solutions Limited,2022-08-22,Public,Public Company,Listed,10000000,7500000,ROC-KOLKATA,"156 Camac Street, Kolkata 700017",West Bengal,Active,Information Technology / FinTech
U72110MH2023PTC399845,BioSynthetix Labs Private Limited,2023-03-10,Private,Private Company,Unlisted,3000000,1500000,ROC-MUMBAI,"Unit 45, Techzone IT Park, Khargar, Navi Mumbai 410210",Maharashtra,Active,Biotechnology / Healthcare / Drug Discovery
U45201GJ2023PTC087234,CloudPeak Infrastructure Solutions Pvt Ltd,2023-05-20,Private,Private Company,Unlisted,2000000,1000000,ROC-AHMEDABAD,"201, Vikram Complex, Satellite, Ahmedabad 380015",Gujarat,Active,Information Technology / Cloud Computing
U62011KA2022PTC117654,NeuroVenture Analytics Private Limited,2022-11-05,Private,Private Company,Unlisted,4500000,2250000,ROC-BANGALORE,"Suite 302, Tech Park Phase-2, Whitefield, Bangalore 560066",Karnataka,Active,Artificial Intelligence / Data Analytics
U67110TG2023PTC099876,GreenMinds Agriculture Tech Solutions Pvt Ltd,2023-01-12,Private,Private Company,Unlisted,3500000,1750000,ROC-HYDERABAD,"Plot 456, Mindspace IT Park, Hyderabad 500032",Telangana,Active,AgriTech / Sustainable Agriculture
U75110DL2022PTC389201,UrbanFlow Mobility Private Limited,2022-12-08,Private,Private Company,Unlisted,4000000,2000000,ROC-DELHI,"45, Rajendra Place, New Delhi 110008",Delhi,Active,Mobility / Transportation / Logistics
U52110TN2023PTC098765,MediConnect Digital Health Solutions Pvt Ltd,2023-04-22,Private,Private Company,Unlisted,2500000,1250000,ROC-CHENNAI,"SBR Tech Park, OMR Road, Chennai 600096",Tamil Nadu,Active,HealthTech / Medical Devices
U72900KA2024PTC182001,NovaGrid Energy Systems Private Limited,2024-03-14,Private,Private Company,Unlisted,1000000,100000,ROC-BANGALORE,"Electronic City Phase 1, Bengaluru 560100",Karnataka,Active,CleanTech / Energy Storage
U72900MH2024PTC421100,FundX Demo Ventures Private Limited,2024-01-20,Private,Private Company,Unlisted,2000000,500000,ROC-MUMBAI,"Bandra Kurla Complex, Mumbai 400051",Maharashtra,Active,B2B SaaS / Marketplace
U35201WB2023PTC262723,Legacy Commerce Enterprise Limited,2023-02-14,Private,Private Company,Unlisted,500000,250000,ROC-KOLKATA,"89 Lower Circular Road, Kolkata 700013",West Bengal,Strike Off,General Trading
U51234MH2021PTC342876,Defunct Ventures Private Limited,2021-06-08,Private,Private Company,Unlisted,1000000,500000,ROC-MUMBAI,"234, Fort District, Mumbai 400001",Maharashtra,Under Liquidation,Services
U35304WB2020PTC259876,Merged Enterprise Solutions Limited,2020-01-19,Private,Private Company,Unlisted,2000000,1000000,ROC-KOLKATA,"567, Park Circus, Kolkata 700017",West Bengal,Amalgamated,Consulting Services
U45100GJ2021PTC056789,Restructuring Holdings Limited,2021-03-05,Private,Private Company,Unlisted,3000000,1500000,ROC-AHMEDABAD,"890, CG Road, Ahmedabad 380009",Gujarat,Under CIRP,Financial Services
